"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
","Sept. 11, 2008 -- HIV is striking African-Americans with ""alarming"" ferocity, according to a new CDC report.",Daniel J. DeNoon
"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
",Young (aged 13-29) black men who have sex with men get HIV more often than any other age/racial group.,Daniel J. DeNoon
"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
",African-American women are 15 times more likely to get HIV than are white women.,Daniel J. DeNoon
"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
",African-American men are six times more likely to get HIV than are white men.,Daniel J. DeNoon
"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
","African-Americans get nearly half of all new HIV infections in the U.S.
Men who have sex with men get more than half of all new HIV infections in the U.S.
Among white gay/bisexual men, those aged 30-39 and 40-49 get the most new HIV infections.",Daniel J. DeNoon
"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
","The number of new HIV infections among young black men who have sex with men is alarming,"" Kevin Fenton, MD, PhD, director of the CDC's division of HIV/AIDS, said at a news conference held to announce the findings.",Daniel J. DeNoon
"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
","No less alarming is the astonishingly heavy impact of HIV on African-American women, says Richard Wolitski, PhD, acting director of the CDC's division of HIV/AIDS prevention.",Daniel J. DeNoon
"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
","""A range of issues contributes to disproportionate HIV risk for African-Americans, such as poverty, stigma, lack of access to health care, and higher rates of sexually transmitted diseases,"" Wolitski said at the news conference.",Daniel J. DeNoon
"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
",Black women face additional challenges such as power imbalances in sexual relationships with men.,Daniel J. DeNoon
"https://www.webmd.com/hiv-aids/news/20080911/cdc-young-black-men-get-most-hiv
","And he said that the CDC is working to expand existing HIV prevention programs, especially for African-American men who have sex with men.",Daniel J. DeNoon
"https://www.webmd.com/hypertension-high-blood-pressure/news/20130315/vitamin-d-supplements-tied-to-lower-blood-pressure-in-blacks
","Black Americans who take vitamin D supplements may significantly lower their blood pressure, a new study suggests.",
"https://www.webmd.com/hypertension-high-blood-pressure/news/20130315/vitamin-d-supplements-tied-to-lower-blood-pressure-in-blacks
","Compared with other races, blacks in the United States are more likely to have vitamin D deficiency and more likely to have high blood pressure,"" said lead researcher Dr. John Forman, an assistant professor of medicine at the renal division of Brigham and Women's Hospital in Boston.",
"https://www.webmd.com/hypertension-high-blood-pressure/news/20130315/vitamin-d-supplements-tied-to-lower-blood-pressure-in-blacks
","But among the black study participants, three months of supplemental vitamin D was associated with a drop in systolic blood pressure (the top number in a blood pressure reading) of up to 4 mm Hg, the researchers found.",
"https://www.webmd.com/hypertension-high-blood-pressure/news/20130315/vitamin-d-supplements-tied-to-lower-blood-pressure-in-blacks
","If our findings are confirmed by other studies, then vitamin D supplementation may be a useful means of helping black individuals lower their blood pressure,"" Forman said.",
"https://www.webmd.com/hypertension-high-blood-pressure/news/20130315/vitamin-d-supplements-tied-to-lower-blood-pressure-in-blacks
","In addition, because many black Americans are deficient in vitamin D, taking a supplement may benefit their health even more, said Holick, who was not involved with the study.",
"https://www.webmd.com/hypertension-high-blood-pressure/news/20130315/vitamin-d-supplements-tied-to-lower-blood-pressure-in-blacks
","""We are now beginning to believe that a lot of the health disparities between blacks and whites are due to vitamin D deficiency, including the risk for type 2 diabetes, heart disease, cancers and even infectious disease,"" he said.",
"https://www.webmd.com/hypertension-high-blood-pressure/news/20130315/vitamin-d-supplements-tied-to-lower-blood-pressure-in-blacks
","For the study, published online March 13 and in the April print issue of the journal Hypertension, Forman's team randomly assigned 250 black participants to one of three doses of vitamin D supplements or an inactive placebo.",
"https://www.webmd.com/hypertension-high-blood-pressure/news/20130315/vitamin-d-supplements-tied-to-lower-blood-pressure-in-blacks
","""Hypertension is a leading cause of stroke, heart attack, heart failure, kidney failure and premature cardiovascular death, particularly in black men and women,"" said Dr. Gregg Fonarow, a spokesman for the American Heart Association, and a professor of cardiology at the University of California, Los Angeles.",
"https://www.webmd.com/hypertension-high-blood-pressure/news/20130315/vitamin-d-supplements-tied-to-lower-blood-pressure-in-blacks
","Other studies of the effects of vitamin D on blood pressure have been inconsistent and most studies have not included sufficient numbers of black men and women or studied higher doses of vitamin D, he said.",
"https://www.webmd.com/allergies/news/20110906/african-american-kids-may-have-more-food-allergies
","African-American children in the U.S. have a higher rate of food allergies than children of other races, and new research suggests that genetic and environmental factors may explain why.",Salynn Boyles
